RSc0338	H16_A0317
RSp0951	H16_A1266
RSp0951	H16_A0852
RSp0951	H16_B1714
RSp0951	H16_A3131
RSp0958	H16_B2324
RSp0958	PHG245
RSp0955	H16_A2425
RSp0955	H16_A0403
RSp0959	H16_B2325
RSp0959	PHG246
RSc0525	H16_A0522
RSc2704	H16_B1930
RSc1857	H16_A1644
RSc0526	H16_A0523
RSc2703	H16_B1925
RSc0523	H16_A0520
RSc1855	PHG049
RSc0524	H16_A0521
RSc0529	H16_A0526
RSc2707	H16_B2078
RSc2706	H16_A1744
RSc1859	H16_A1642
RSc1859	H16_A1072
RSc1859	H16_B1026
RSc0527	H16_A0524
RSc1858	H16_A1643
RSc1858	H16_A1071
RSc1858	H16_B1025
RSc0528	H16_A0525
RSc2700	H16_B1928
RSc2700	H16_B1927
RSc0521	H16_A0518
RSc0522	H16_A0519
RSc0520	H16_A0517
RSp0942	H16_B0205
RSp0942	H16_B2115
RSp0947	H16_B0062
RSp0944	H16_B1818
RSp0945	H16_A2586
RSp0945	H16_B1813
RSp0949	H16_A0850
RSp0949	H16_A3128
RSp0949	H16_B1715
RSp0949	H16_A1264
RSc0514	H16_A0510
RSc0998	H16_A1118
RSc1846	PHG189
RSc0999	H16_A1120
RSc0515	H16_A0511
RSc1845	PHG190
RSc0512	H16_A0508
RSc0996	H16_A1116
RSc1844	PHG191
RSc1843	RALH1_K20315
RSc0997	H16_A1117
RSc0513	H16_A0509
RSc0518	H16_A0514
RSc0519	H16_A0516
RSc0516	H16_A0512
RSc0517	H16_A0513
RSc1847	PHG188
RSc0990	H16_A2654
RSc0991	H16_A2653
RSc1842	RALH1_K20315
RSc0510	H16_B2043
RSc0994	H16_A2644
RSc0511	H16_A0507
RSc0995	H16_A2643
RSp0971	PHG263
RSp0971	H16_B2332
RSp0972	H16_B2263
RSp0972	PHG268
RSp0970	H16_B2330
RSp0970	PHG257
RSp0975	PHG271
RSp0975	H16_B2266
RSp0976	PHG272
RSp0976	H16_B2267
RSp0973	H16_B2264
RSp0973	PHG269
RSp0974	H16_B2265
RSp0974	PHG270
RSp0979	H16_B0622
RSp0979	PHG265
RSp0979	H16_B2333
RSp0977	PHG273
RSp0977	H16_B2268
RSp0978	H16_B2271
RSp0978	PHG275
RSc0503	H16_A0500
RSc0987	H16_A2659
RSc0504	H16_A0501
RSc0988	H16_A2657
RSc0501	H16_A0498
RSc0985	H16_A2662
RSc0986	H16_A1735
RSc0986	H16_B1995
RSc0986	H16_A2660
RSc0502	H16_A0499
RSc1832	H16_A3489
RSc1832	H16_B0413
RSc1832	H16_B0473
RSc0508	H16_A0504
RSc1838	H16_A3487
RSc0505	H16_A0502
RSc0989	H16_A0278
RSc0989	H16_A2655
RSc1837	H16_A3486
RSc0506	H16_A0503
RSc1836	H16_A3485
RSc1831	PHG158
RSc0500	H16_A0497
RSc0984	H16_A2663
RSc0981	H16_A2665
RSc0981	H16_B0090
RSp0960	H16_B0820
RSp0961	H16_B0819
RSp0964	PHG239
RSp0965	PHG238
RSp0962	H16_B0818
RSp0963	PHG240
RSp0968	H16_B2328
RSp0968	PHG255
RSp0969	H16_B2329
RSp0969	PHG256
RSc0509	H16_A0506
RSp0967	PHG259
RSc1029	H16_A1168
RSc3207	H16_A0613
RSc3208	H16_A0614
RSc3208	H16_B1783
RSc3209	H16_B1910
RSc3209	H16_B1510
RSc0176	H16_A0261
RSc1024	H16_A1163
RSc2355	H16_A2918
RSc0177	H16_A0262
RSc1023	H16_A1162
RSc3205	H16_A1730
RSc3205	H16_A0611
RSc0174	H16_B1769
RSc0174	H16_A1715
RSc1022	H16_A1161
RSc2352	H16_A0742
RSc2352	H16_B1171
RSc2352	H16_A1559
RSc2352	H16_B0996
RSc2352	H16_B2127
RSc1021	H16_A1160
RSc0175	H16_A0260
RSc3206	H16_A0612
RSc1028	H16_A1167
RSc1027	H16_A1166
RSc2358	H16_A2921
RSc0178	H16_A0263
RSc2357	H16_A2920
RSc1026	H16_A1165
RSc0179	H16_A2006
RSc0179	PHG228
RSc0179	H16_A2008
RSc0179	H16_B1432
RSc1025	H16_A1164
RSc2356	H16_A2919
RSc0180	PHG230
RSc1031	H16_A2589
RSc2362	H16_A2924
RSc1030	H16_A1169
RSc2361	H16_A2923
RSp0910	H16_A0889
RSp0910	H16_B1298
RSc2360	H16_A2922
RSc0182	RALH10290
RSp0911	H16_A1785
RSp0918	RALH1_K20315
RSc1019	H16_B0494
RSc1019	H16_A1158
RSc2349	H16_A0746
RSc1018	H16_A1157
RSc2344	H16_A0751
RSc0165	H16_A0421
RSc0166	H16_A0420
RSc2343	H16_A0752
RSc1012	H16_A1156
RSc2342	H16_A0753
RSc1011	H16_A1152
RSc0163	H16_A0423
RSc1010	H16_B1081
RSc1010	H16_A1151
RSc1010	H16_A1494
RSc2341	H16_A0754
RSc2341	PHG323
RSc0164	H16_A0422
RSc2348	H16_A0748
RSc2345	H16_A0320
RSc2345	H16_A0750
RSc1020	H16_A1159
RSc2351	H16_A0743
RSc2351	H16_B1834
RSc2350	H16_A0745
RSc2350	H16_B1835
RSp0902	H16_A1678
RSc1008	H16_A1150
RSc2339	H16_A0756
RSc2338	H16_A0763
RSc1007	H16_A1149
RSc1007	H16_A0927
RSc0154	H16_A0218
RSc1002	H16_A1141
RSc2332	PHG158
RSc0155	H16_A0257
RSc1001	H16_A1140
RSc1000	H16_A1121
RSc1483	H16_B0106
RSc0153	H16_A0219
RSc2337	H16_A0764
RSc1006	H16_A1148
RSc1005	H16_A1147
RSc2335	PHG158
RSc1004	H16_A1142
RSc0156	H16_A0258
RSc0157	H16_A0259
RSc1493	H16_B2078
RSc0161	H16_A3345
RSc2340	H16_A0755
RSc1492	H16_A1744
RSp0932	H16_A0045
RSp0932	H16_A0475
RSp0932	H16_A2756
RSp0932	H16_A3308
RSp0932	H16_B1810
RSc0162	H16_A0424
RSc2328	H16_B1729
RSc2328	H16_B1777
RSp0919	PHG191
RSc2322	H16_B0903
RSc0144	H16_B2316
RSc0142	H16_A0220
RSc1479	H16_A0182
RSc1478	H16_A0181
RSc2325	H16_A0076
RSc1477	H16_A0180
RSc1476	H16_B2507
RSc1482	H16_A0766
RSp0920	PHG190
RSc0151	H16_A0077
RSp0921	PHG189
RSc1480	H16_B0825
RSc1480	H16_B1633
RSc1480	H16_A1042
RSp0925	H16_A2184
RSp0922	PHG188
RSp0928	H16_A2187
RSp0929	H16_A2188
RSp0926	H16_A2185
RSp0927	H16_A2186
RSc0138	H16_A0226
RSc1469	H16_B0817
RSc1469	H16_A1722
RSc1469	H16_A1701
RSc1469	H16_B0745
RSc1469	H16_A0439
RSc1469	H16_A3370
RSc1469	H16_B1896
RSc0139	H16_A0224
RSc1464	H16_A0434
RSc1464	H16_A1721
RSc2310	H16_A3535
RSc1463	H16_A0433
RSc1463	H16_A1729
RSc0133	H16_B1698
RSc0130	H16_A0686
RSc2792	PHG305
RSc2792	H16_A3177
RSc1461	H16_B0684
RSc1468	H16_A1723
RSc1468	H16_A0438
RSc0136	H16_A0228
RSc2315	H16_A1684
RSc2315	PHG196
RSc2315	RALH10224
RSc2315	H16_B2553
RSc2315	H16_B2024
RSc0137	H16_A0227
RSc2798	H16_A3181
RSc1467	H16_A0437
RSc0134	H16_A0230
RSc1466	H16_A0436
RSc0135	H16_A0229
RSc1465	H16_A0435
RSc1471	H16_B1237
RSc0140	H16_A0223
RSc0129	H16_B0522
RSc2789	H16_A3174
RSc0121	H16_A0234
RSc1453	H16_A1921
RSc2784	H16_A3169
RSc0122	H16_B1634
RSc1452	H16_A1922
RSc2783	H16_A3168
RSc2782	H16_A3167
RSc1451	H16_A2722
RSc1451	H16_A1923
RSc1450	H16_A1924
RSc2781	H16_A3166
RSc2788	H16_A3173
RSc1457	H16_A1915
RSc0125	PHG283
RSc2787	H16_A3172
RSc1456	H16_B2130
RSc1456	H16_B0737
RSc1456	H16_B1735
RSc1456	H16_B1534
RSc1456	H16_B0421
RSc1456	H16_A1919
RSc2786	H16_A3171
RSc0123	H16_A0233
RSc0123	H16_B0411
RSc0123	H16_A3671
RSc0123	H16_B1532
RSc1455	H16_A1920
RSc2785	H16_A3170
RSc1460	H16_B0228
RSc2791	H16_A3176
RSc2790	H16_A3175
RSc1449	H16_A1925
RSc2779	H16_A3163
RSc2778	H16_A3162
RSc1442	H16_B2290
RSc2773	H16_A3157
RSc2772	H16_A0270
RSc1441	H16_B2291
RSc0111	H16_A0237
RSc0592	H16_A1901
RSc1440	H16_B2292
RSc2770	H16_A1488
RSc2770	H16_A3156
RSc2777	H16_A3161
RSc0114	H16_B2331
RSc0114	PHG258
RSc2776	H16_A3160
RSc0599	H16_A0970
RSc0112	H16_A0236
RSc1444	H16_A1784
RSc0113	H16_A0235
RSc2774	H16_A3159
RSc2780	H16_A3165
RSc1439	H16_A1744
RSc1438	H16_B2078
RSc2769	H16_A3155
RSc0108	H16_A0239
RSc2768	H16_A3154
RSc0589	H16_A1509
RSc0589	H16_B0498
RSc2767	H16_A1002
RSc2767	H16_A3153
RSc0109	H16_A0238
RSc1431	H16_A2028
RSc0583	H16_A0457
RSc2762	H16_A3148
RSc0100	H16_A0243
RSc0584	H16_A0575
RSc1430	H16_A2029
RSc2766	H16_A3152
RSc0587	H16_A1675
RSc1434	PHG158
RSc0588	H16_A0025
RSc0588	H16_A0016
RSc0588	H16_A1248
RSc0588	H16_B0108
RSc2765	H16_A3151
RSc2764	H16_A3150
RSc0585	H16_A3553
RSc2763	H16_A3149
RSc0590	H16_A0576
RSc0591	H16_B0592
RSp1040	H16_B0583
RSc3289	H16_A3617
RSp0195	H16_A2071
RSp0196	H16_B2515
RSp1043	PHG081
RSc3294	H16_A3620
RSp1048	H16_B1471
RSc3295	H16_A3621
RSc3296	H16_A3622
RSc3297	H16_A3260
RSp1047	H16_B1460
RSc3293	H16_A3619
RSp1033	PHG106
RSp1033	H16_B1649
RSp1033	RALH11953
RSp1033	PHG153
RSp1033	PHG157
RSc3276	H16_A3591
RSp0186	H16_B0333
RSp1034	H16_A1810
RSp1034	H16_A1817
RSc3277	H16_B2399
RSc3278	H16_B0114
RSp0185	H16_A2982
RSp0185	H16_B1949
RSp0185	H16_B0989
RSp0185	H16_B1722
RSc3279	RALH1_K20126
RSc3283	H16_A3600
RSc3283	H16_B0941
RSp1037	H16_A1834
RSp1037	H16_A1816
RSc3284	H16_A3615
RSp1035	H16_A1821
RSc3285	H16_A3616
RSc3280	H16_A2219
RSc3280	H16_B2259
RSc3280	H16_A3596
RSc3281	H16_A3598
RSc3282	H16_A3599
RSc3282	H16_A1558
RSp1062	H16_A3182
RSp1062	PHG126
RSc3269	H16_A3583
RSc1089	H16_A1632
RSp1060	H16_A0225
RSc1088	H16_A1631
RSc1088	H16_B0803
RSc1087	H16_B0873
RSc3265	H16_A3579
RSc3266	H16_A3580
RSc3267	H16_A3581
RSc3268	H16_A3582
RSc1093	H16_B0877
RSc3273	H16_A3588
RSc1092	H16_A1634
RSc3274	H16_B2460
RSc3275	H16_A3590
RSc3275	H16_B2454
RSc1090	H16_A1633
RSc1090	H16_B0801
RSc3271	H16_A3585
RSc1079	H16_B0127
RSp1051	RALH12015
RSc3258	H16_A3568
RSp1052	H16_B0977
RSp1052	H16_A1419
RSp1052	PHG116
RSc3259	H16_A3569
RSc1078	H16_B0126
RSc1077	H16_B2506
RSp1050	H16_B1470
RSp1050	H16_A0643
RSp1055	H16_A3664
RSp1055	H16_A0273
RSc3254	H16_A3564
RSp1056	H16_A0272
RSc3255	H16_A3565
RSp1053	H16_A3054
RSp1053	H16_B2579
RSp1053	H16_B0002
RSp1053	H16_B2025
RSc3256	H16_A3566
RSc3257	H16_A3567
RSc3261	H16_A3574
RSp1059	H16_B0646
RSc3262	H16_A3575
RSp1057	H16_A0271
RSc3263	H16_A3576
RSc3264	H16_A3577
RSc1086	H16_B0428
RSc1086	H16_B0874
RSc1086	H16_A0361
RSc1085	H16_B0875
RSc1084	H16_B0727
RSc1084	H16_A0625
RSc3260	H16_B0859
RSc3260	H16_A3570
RSc1068	H16_A2550
RSc2399	H16_A2971
RSp1480	H16_B0521
RSp0150	H16_A3535
RSc1067	H16_A2551
RSc2398	H16_A2970
RSp1481	H16_B0520
RSc1066	H16_A2552
RSc2397	H16_A2968
RSc1065	H16_A2553
RSc2396	H16_A2967
RSp1482	H16_B0519
RSc1069	H16_A2549
RSp1483	H16_B0518
RSc1071	H16_A2547
RSp1004	H16_B0038
RSc3250	H16_B2394
RSp1005	H16_B0020
RSp1005	H16_B0040
RSc1070	H16_A2548
RSc3253	H16_A3563
RSp1008	H16_A2107
RSp1008	H16_B0019
RSc1075	H16_B2195
RSc1074	H16_B2196
RSp1006	H16_B0039
RSc1073	H16_B2197
RSc1073	H16_A0080
RSc1073	H16_A0081
RSc1072	H16_A2546
RSc1057	H16_A2561
RSc2387	H16_A2959
RSc1056	H16_A2562
RSc1055	H16_A2563
RSc2386	H16_A2958
RSc1054	H16_A2565
RSc2385	H16_A2957
RSp1473	H16_B2508
RSp1474	H16_B1367
RSp1474	H16_A2596
RSp1474	H16_B0683
RSp1471	H16_B1653
RSp1471	H16_B0298
RSc1059	H16_A2559
RSc1058	H16_A2560
RSc2391	H16_A2962
RSc1060	H16_A2558
RSc2390	H16_A2961
RSp1476	H16_B0886
RSc1064	H16_A2554
RSc2395	H16_A2966
RSc1063	H16_A2555
RSc2394	H16_A2965
RSc2393	H16_A2964
RSc1062	H16_A2556
RSc1061	H16_A2557
RSc2392	H16_A2963
RSc1046	H16_A2573
RSc2377	H16_A2941
RSc3225	PHG171
RSc1045	H16_A2574
RSc2376	H16_A2940
RSc0199	H16_A0747
RSc1044	H16_A2575
RSc2375	H16_A2939
RSc1043	H16_A2576
RSc2374	H16_A2938
RSc1049	H16_A2570
RSc2379	H16_A2943
RSc2379	H16_B0960
RSc1048	H16_A2571
RSp1020	H16_A1856
RSp1020	H16_B0024
RSc1047	H16_A2572
RSc2378	H16_A2942
RSc3224	PHG172
RSc2380	H16_A2944
RSc2380	H16_A0990
RSc1053	H16_A2566
RSc2384	H16_A2956
RSc1052	H16_A2567
RSc1052	H16_B1904
RSc2383	H16_A2955
RSc1051	H16_A2568
RSc2382	H16_A2954
RSc1050	H16_A2569
RSc2381	H16_A2945
RSc3219	H16_A0657
RSc2366	H16_A2931
RSc1035	H16_A2585
RSc1034	H16_A2586
RSc1034	H16_B1813
RSc0188	H16_A1992
RSc0188	H16_A2192
RSc2365	H16_A2930
RSc0185	H16_A2004
RSc0185	H16_B0843
RSc0185	H16_B1431
RSc1033	H16_A2587
RSc3217	RALH10692
RSc3217	H16_A3206
RSc2363	H16_A2925
RSc1032	H16_A2588
RSc1032	H16_B0092
RSc0186	H16_A2017
RSc0186	H16_A1998
RSp1495	H16_A2290
RSc1039	H16_A2581
RSc1039	H16_B1466
RSp0164	H16_B2055
RSp1012	H16_B0032
RSp1496	H16_A2542
RSc1038	H16_A2582
RSc2369	H16_A2933
RSc2368	H16_B1110
RSc1037	H16_A2583
RSc0189	H16_A2016
RSc1036	H16_A2584
RSc2367	H16_A2932
RSc0190	H16_A2013
RSc0191	H16_A1985
RSc0191	H16_A0780
RSc1042	H16_A2577
RSc2373	H16_A2937
RSp1019	H16_B0023
RSc1041	H16_A2578
RSc2372	H16_A2936
RSc0195	H16_A2390
RSc1040	H16_A2580
RSc0192	H16_A2020
RSc0192	H16_A0781
RSc2371	H16_A2935
RSp1018	H16_A1857
RSp1018	H16_B0036
RSp1018	H16_B0022
RSc2370	H16_A2934
RSc0618	H16_A3189
RSc0618	PHG201
RSc0615	H16_A1658
RSc0615	H16_B0049
RSp0110	H16_B0164
RSp0597	H16_A1649
RSp0598	H16_B2240
RSp0111	H16_B0163
RSp1448	H16_A3602
RSp1448	H16_B0961
RSp1449	H16_A3601
RSp1449	H16_A2132
RSp0599	H16_B1256
RSp1447	H16_A3293
RSp0116	H16_B0179
RSp0119	H16_A1908
RSc0602	H16_A0683
RSc0603	H16_A0684
RSc0600	H16_A0681
RSc0601	H16_A0682
RSc0606	H16_A0056
RSc0607	H16_A1648
RSc0604	H16_B1194
RSc0605	H16_B1195
RSc0605	H16_B2470
RSc0605	H16_B1745
RSp0106	H16_A0677
RSp0107	H16_B1138
RSp1439	H16_A1216
RSp0109	H16_B0165
RSp0139	H16_A0269
RSp0139	H16_A2759
RSp0139	H16_B1899
RSp0137	RALH1_K20345
RSp0120	H16_A1907
RSp0121	H16_A2636
RSp0121	H16_A1906
RSp1450	H16_A1738
RSp1455	H16_B2094
RSp0122	H16_A1905
RSp0123	H16_A1904
RSp0128	H16_A3391
RSp0550	RALH1_K21299
RSp0550	RALH1_K21301
RSp0550	RALH1_K21300
RSp1401	H16_B0245
RSp0554	H16_B1482
RSp0557	H16_B2078
RSp1404	H16_B0242
RSp0558	H16_A1744
RSp1405	H16_B0241
RSp1402	H16_B0244
RSp0555	H16_B1483
RSp1403	H16_B0243
RSp1408	H16_B0239
RSp1409	H16_B0230
RSp1407	H16_B0240
RSp1407	H16_B0231
RSp0540	RALH1_K21298
RSp0547	PHG084
RSp0547	PHG032
RSp0548	PHG031
RSp0548	PHG030
RSp1421	H16_B2493
RSp1421	H16_A1548
RSp1421	H16_B2438
RSc3298	H16_A3627
RSc3299	H16_A3628
RSp1411	H16_B0237
RSp1412	H16_B0236
RSp1412	H16_B0919
RSp1410	H16_B0238
RSp0566	PHG158
RSp1413	H16_B1539
RSp1413	H16_B0235
RSc1307	H16_A2279
RSc0459	H16_A0446
RSc2638	H16_A1138
RSc1306	H16_A1910
RSc1306	H16_A2280
RSc1305	H16_B0102
RSc0457	H16_A0444
RSc1789	H16_A1576
RSc2636	H16_A3606
RSc0458	H16_A0445
RSc1304	H16_A2281
RSc2635	H16_A3089
RSc1788	H16_A1574
RSc1309	H16_A2277
RSc2639	H16_A1137
RSc1308	H16_A2278
RSc2630	H16_A3084
RSc1783	H16_A1568
RSc1782	H16_A1567
RSc0452	H16_A3516
RSc1781	H16_A1566
RSc1780	H16_A1565
RSc2634	H16_A3088
RSc0455	H16_A0442
RSc1787	H16_A1573
RSc1303	H16_A2282
RSc2633	H16_A3087
RSc0456	H16_A0443
RSc1786	H16_A1571
RSc1302	H16_B1096
RSc0453	H16_A0440
RSc1785	H16_A1570
RSc2632	H16_A3086
RSc1784	H16_A1569
RSc0454	H16_A0441
RSc2631	H16_A3085
RSc1790	H16_B1599
RSc0448	H16_A0426
RSc2627	H16_A3081
RSc0449	H16_A0427
RSc1779	H16_B0248
RSc2626	H16_A3080
RSc2625	H16_A3079
RSc2624	H16_A3078
RSc0447	H16_B0059
RSc2629	H16_A3083
RSc2628	H16_A3082
RSc1772	H16_A1554
RSc0441	H16_A1179
RSc1771	H16_A1553
RSc1770	H16_A1537
RSc2623	H16_A3077
RSc0444	H16_B0056
RSc1775	H16_B0247
RSc0445	H16_B0057
RSc0442	H16_A1971
RSc0442	H16_A3514
RSc1774	H16_A1564
RSc2621	RALH11999
RSc1773	H16_A1556
RSc0443	H16_B0055
RSc0437	H16_A1983
RSc1769	H16_A1536
RSc0438	H16_A1982
RSc0438	RALH1_K22718
RSc1768	H16_A1535
RSc1767	H16_A1534
RSc1766	H16_A1533
RSc0436	H16_B1659
RSc1761	H16_A1720
RSc1761	H16_B0668
RSc1761	H16_A1528
RSc1760	H16_A1527
RSc0430	H16_B1664
RSc1765	H16_B0871
RSc1765	H16_B1574
RSc0433	H16_B1661
RSp0890	H16_B0547
RSc0434	H16_B1660
RSc1764	H16_A1532
RSp0891	H16_B0548
RSp0891	H16_B0597
RSc1763	H16_A1531
RSc0431	H16_B1663
RSc0432	H16_B1662
RSc1762	H16_A1530
RSp0894	H16_A1806
RSp0894	H16_B0551
RSp0411	H16_B0095
RSp0895	H16_B0552
RSp0895	H16_A1807
RSp0892	H16_B0549
RSp0893	H16_B0550
RSp0898	H16_A0161
RSp0412	H16_A0075
RSp0416	H16_B1489
RSc1758	H16_B2472
RSc1758	H16_A1525
RSc0426	H16_B1668
RSc1757	H16_B2472
RSc1757	H16_A1525
RSc0427	H16_B1667
RSc0425	H16_B1669
RSc0428	H16_B1666
RSc1759	H16_A1526
RSc1759	H16_B0724
RSc0429	H16_B1665
RSc1750	H16_A1520
RSc0422	H16_A0402
RSc0422	PHG335
RSc1754	H16_A1524
RSc0423	H16_A1744
RSc1753	H16_A1523
RSc0420	H16_A0400
RSc1752	H16_A1522
RSc0421	H16_A0401
RSc1751	H16_A1521
RSp0400	H16_B2050
RSp0400	H16_B1522
RSp0400	H16_B2212
RSp0884	H16_A1582
RSp0886	H16_A2335
RSp0886	H16_B0618
RSp0408	H16_A2003
RSc1747	H16_A1517
RSc0415	H16_A0393
RSc0899	H16_A0946
RSc0416	H16_A0394
RSc1746	H16_A1516
RSc0413	H16_A0391
RSc0897	H16_A0786
RSc1745	H16_A1515
RSc0898	H16_A0787
RSc0414	H16_A0392
RSc1744	H16_A1514
RSc0419	H16_A0398
RSc0417	H16_A0395
RSc1749	H16_A1519
RSc1748	H16_A1518
RSc0418	H16_A0396
RSc0411	H16_A0390
RSc0410	H16_A0389
RSc1740	H16_A1399
RSp0830	H16_B0965
RSc0888	RALH1_K21299
RSc0888	RALH1_K21301
RSc0888	RALH1_K21300
RSc1736	H16_A2379
RSc0405	H16_A0383
RSc1735	H16_A2380
RSc1734	H16_B1829
RSc1734	H16_B0109
RSc1734	H16_B1951
RSc1734	H16_B0462
RSc0402	H16_A0380
RSc0887	RALH1_K21298
RSc0403	H16_A0381
RSc0408	H16_A0387
RSc0409	H16_A0388
RSc1739	H16_A1398
RSc0406	H16_A0384
RSc1738	H16_B2449
RSc1738	H16_A1397
RSc0407	H16_A0386
RSc1737	H16_A2378
RSc0400	H16_A0378
RSc0401	H16_A0379
RSc1731	H16_B1830
RSp0821	H16_B1723
RSp0826	H16_B0131
RSp0824	H16_B1441
RSp0827	H16_B0130
RSp0827	H16_B0212
RSp0827	H16_B0322
RSc1722	H16_A1511
RSc1721	H16_A1510
RSc1720	H16_A1504
RSc0871	H16_A2929
RSc0867	PHG180
RSc0867	H16_B0227
RSc0867	H16_B2256
RSc1713	H16_A1485
RSc1712	H16_A1484
RSc1711	H16_A1483
RSc1718	H16_A1501
RSc1717	H16_A1500
RSc1715	H16_A1499
RSc1710	H16_A1482
RSp0843	H16_B0452
RSc1719	H16_A1502
RSc1719	H16_B1502
RSc2239	H16_A2433
RSc2239	H16_B1924
RSc2239	H16_A3463
RSc0055	H16_A0109
RSc2234	H16_A2745
RSc0056	H16_A0110
RSc0056	H16_A0907
RSc2233	H16_A2744
RSc0053	H16_A0118
RSc2232	H16_A2743
RSc0054	H16_A0108
RSc1384	H16_A2096
RSc2231	H16_A2742
RSc0059	H16_A0113
RSc2237	H16_A2752
RSc2236	H16_A2751
RSc0057	H16_A0111
RSc1389	H16_A0674
RSc1388	H16_A2070
RSc2235	H16_A2750
RSc0058	H16_A0112
RSc1390	H16_A2069
RSc0062	H16_A0116
RSc1394	H16_A2065
RSc1393	H16_A2066
RSc0063	H16_A0117
RSc0060	H16_A0114
RSc1392	H16_A2067
RSc0061	H16_A0115
RSc1391	H16_A2068
RSc2229	H16_A2740
RSc2229	PHG414
RSc2228	H16_A2739
RSc1376	H16_A2104
RSc1376	H16_B0342
RSc2223	H16_A2734
RSc2222	H16_A2733
RSc0045	H16_A0193
RSc2221	H16_A2732
RSc0042	H16_A0200
RSc0043	H16_A0199
RSc1373	H16_A2110
RSc2220	H16_A2731
RSc0048	H16_A0196
RSc2227	H16_A2738
RSc1379	H16_B2463
RSc1379	H16_A2406
RSc1379	H16_A2085
RSc1379	H16_A2101
RSc2226	H16_A2737
RSc1378	H16_A2102
RSc0046	H16_A0194
RSc2225	H16_A2736
RSc0047	H16_A3373
RSc0047	H16_A0195
RSc1377	H16_A2103
RSc2224	H16_A2735
RSc2230	H16_A2741
RSc1383	H16_A2097
RSc0051	H16_A0304
RSc1382	H16_A2951
RSc1382	H16_A1472
RSc1382	H16_A2098
RSc0052	H16_A0119
RSc1381	H16_A2099
RSc1380	H16_A2100
RSc2219	H16_A2730
RSc2218	H16_A2729
RSc0039	H16_A0203
RSp0809	H16_B1165
RSp0809	H16_B0104
RSc2217	H16_A2727
RSc0033	H16_A0208
RSc1365	H16_A2120
RSc1364	H16_A2121
RSc2211	H16_A2717
RSc0034	H16_B2413
RSc1363	H16_A2217
RSc2210	H16_A2716
RSc0031	H16_A0210
RSc0032	H16_A0209
RSc1362	H16_A2218
RSc1369	H16_A2116
RSc1369	H16_A0635
RSc2216	H16_A2726
RSc2215	H16_A2725
RSc2215	H16_A1626
RSc1368	H16_A2117
RSc0038	H16_A0204
RSc2698	H16_B1928
RSc2698	H16_B1927
RSc2214	H16_B0533
RSc2214	H16_B0067
RSc1367	H16_A2118
RSc0035	H16_B2412
RSc2213	H16_A1227
RSc2213	H16_A3289
RSc0036	H16_A0207
RSc1366	H16_A2119
RSc2697	H16_A2868
RSp0810	H16_A3636
RSc0040	H16_A0202
RSc1372	H16_A2112
RSc1371	H16_A2113
RSc1370	H16_A2114
RSp0818	H16_A3730
RSp0819	H16_A3729
RSp0816	H16_B0603
RSp0817	H16_B0787
RSc2209	H16_B1766
RSc2209	H16_A2715
RSc2208	H16_A2714
RSc0028	H16_B1537
RSc0028	H16_B1179
RSc0028	H16_B0982
RSc0028	H16_B2057
RSc0029	H16_B0981
RSc2206	H16_A0899
RSc1359	H16_A2220
RSc1354	H16_A2230
RSc0022	H16_A3708
RSc2200	H16_A2666
RSc2200	H16_A0904
RSc2684	H16_A3106
RSc1353	H16_B2452
RSc1353	H16_A2231
RSc0023	H16_A3707
RSc0020	H16_A3599
RSc0020	H16_A1558
RSc2683	H16_A3105
RSc1352	H16_A3389
RSc1352	H16_A2233
RSc2682	H16_A3104
RSc0021	H16_A3709
RSc1351	H16_A2234
RSc1351	H16_A3390
RSc1358	H16_A2227
RSc2205	H16_A0900
RSc0026	H16_A0212
RSc0027	H16_A0211
RSc2687	H16_A3108
RSc0024	H16_A0088
RSc2686	H16_A3107
RSc2202	H16_A0902
RSc1355	H16_A2229
RSc1360	H16_A2219
RSc1360	H16_B2259
RSc1360	H16_A3596
RSp0800	H16_B1062
RSc0030	H16_B0980
RSc2690	H16_A3110
RSp0804	H16_A3492
RSp0804	H16_B0124
RSp0801	H16_B1672
RSp0807	H16_A0638
RSp0807	H16_A2591
RSp0805	H16_B1242
RSp0806	H16_B1243
RSc0017	H16_A3711
RSc2679	H16_A0415
RSc2679	H16_A2847
RSc1348	H16_A2236
RSc0011	H16_A3729
RSc2674	H16_A3102
RSc0495	H16_A0488
RSc1343	H16_A2241
RSc0496	H16_A0490
RSc0012	H16_A2259
RSc0012	H16_B0900
RSc0012	H16_A3728
RSc2673	H16_A3101
RSc1341	H16_A2242
RSc0493	H16_A0484
RSc0010	H16_A3730
RSc1340	H16_A2243
RSc0494	H16_A0485
RSc2671	H16_A3100
RSc1347	H16_A2237
RSc0015	H16_A3554
RSc2678	H16_A0416
RSc0499	H16_A0493
RSc1346	H16_A2238
RSc0016	H16_A3712
RSc2677	H16_A0417
RSc1345	H16_A2239
RSc0497	H16_A0491
RSc2676	H16_A0418
RSc0013	H16_A3723
RSc2675	H16_A0419
RSc0498	H16_A0492
RSc1344	H16_A2240
RSc0014	H16_A3724
RSc2681	H16_A3103
RSc2680	H16_A0414
RSc0008	H16_A2601
RSc0008	H16_A2728
RSc1339	H16_A2244
RSc0009	H16_A3731
RSc2669	H16_A3098
RSc1337	H16_A2246
RSc2668	H16_A3097
RSc0484	H16_A0045
RSc0484	H16_A0475
RSc0484	H16_A2756
RSc0484	H16_A3308
RSc0484	H16_B1810
RSc1332	H16_A2262
